type,label,severity,center_lat,center_lng,active,type_enc,active_enc,severity_enc,lat_scaled,lng_scaled,nearby_events,nearby_fatalities,nearby_population
strike,Strike Zone: Al-Saksakiyah,high,33.43677,35.28534,False,4,0,1,-0.0299183902005122,-1.048098636737337,1394,998,7712.977044476327
road_closure,Traffic Jam Tayouneh Roundabout Beirut,medium,33.8646,35.5085,False,3,0,0,1.3869427941289825,0.0188950696616191,421,295,38910.32779097387
strike,Strike Zone: Haboush,high,33.40439,35.48481,False,4,0,1,-0.13715249054082,-0.0943737997799734,4556,1280,3552.556189640035
strike,Strike in Marj Harouf,high,33.204,35.34,False,4,0,1,-0.8007918162725021,-0.7867530730531069,8327,1349,2907.4272847363995
strike,Airstrike on Beit Yahoun,high,33.141,35.434,False,4,0,1,-1.0094313567740132,-0.3373113791944603,6877,948,2741.0324269303474
strike,Artillery shelling on Qawzah and Beit Leif,high,33.15,35.35,False,4,0,1,-0.9796257081309402,-0.7389401268979382,8153,1152,2724.6496994971176
strike,Deir Siryan Strike Zone,high,33.288575,35.50438,False,4,0,1,-0.5207015124960761,-0.0008038641543158,6259,1047,3431.208979070139
road_closure,Chiyah Road Closure,medium,33.8569,35.5034,False,3,0,0,1.361442405845466,-0.0054895328775158,421,295,38910.32779097387
strike,Between Abba and Jebchit Strike Zone,medium,33.36067,35.41288,False,4,0,0,-0.2819417081713884,-0.4382923214741787,4902,1415,4168.628722970217
strike,Abba and Jebchit Area Strike,high,33.36067,35.41288,False,4,0,1,-0.2819417081713884,-0.4382923214741787,4902,1415,4168.628722970217
hospital_status,Rafik Hariri University Hospital,medium,33.831,35.506,False,2,0,0,1.2756683725281812,0.0069418331228354,426,300,38502.08450704225
strike,Tibnin and Safad al-Batikh Area Strike,high,33.19706,35.42044,False,4,0,1,-0.8237752831150492,-0.4021457341808735,7584,1243,3076.303533755274
strike,"Strike on Tripoli, Lebanon",high,34.4367,35.8497,False,4,0,1,3.2815885262069155,1.6502727924763012,72,33,28990.875
strike,Strike on Hajarouf,high,33.25,35.45,False,4,0,1,-0.6484518343190255,-0.2608106653461498,6760,1361,3777.8782544378696
strike,Khraibeh / Al-Kharaib Strike Zone,high,33.34131,35.29787,False,4,0,1,-0.3460569701413706,-0.9881890152048736,2783,1288,5157.277039166367
strike,"Kharayeb Strike Zone, Zahrani District",critical,33.34246,35.30491,False,4,0,2,-0.3422484705925249,-0.9545287011116456,2939,1348,5078.486900306227
